FP1
FP2
F3
F4
C3
C4
P3
P4
O1
O2
F7
F8
T3
T4
T5
T6
FZ
CZ
PZ
E
PG1
PG2
A1
A2
T1
T2
X1
X2
X3
X4
X5
X6
X7
X8
X9
X10
X11
DC01
DC02
DC03
DC04
BN1
BN2
Mark1
Mark2
X12/BP1
X13/BP2
X14/BP3
X15/BP4
X16
X17
X18
X19
X20
X21
X22
X23
Events/Markers
